train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.1,0.1,13,binary,0.6481481194496155,0.42943549156188965,0.5265151262283325,9,16
0.1,0.1,13,n_bins,0.6601851582527161,0.40066224336624146,0.48106059432029724,11,16
0.1,0.1,13,spike_count,0.5638889074325562,0.4458042085170746,0.5719696879386902,11,16
0.1,0.1,13,timesurface,0.6000000238418579,0.43881118297576904,0.5454545617103577,11,16
0.1,0.1,13,time_window,0.6314814686775208,0.4597901999950409,0.5681818127632141,11,16
0.1,0.1,42,binary,0.7314814925193787,0.483146071434021,0.5984848737716675,13,16
0.1,0.1,42,n_bins,0.6888889074325562,0.41721853613853455,0.4848484992980957,11,16
0.1,0.1,42,spike_count,0.6481481194496155,0.4632352888584137,0.5454545617103577,13,16
0.1,0.1,42,timesurface,0.7083333134651184,0.5249999761581421,0.6136363744735718,13,16
0.1,0.1,42,time_window,0.7083333134651184,0.501748263835907,0.6098484992980957,11,16
0.1,0.1,93,binary,0.6168981194496155,0.4254032373428345,0.5189393758773804,9,16
0.1,0.1,93,n_bins,0.6840277910232544,0.4254032373428345,0.46212121844291687,9,16
0.1,0.1,93,spike_count,0.6724537014961243,0.49353447556495667,0.5227272510528564,9,16
0.1,0.1,93,timesurface,0.6018518805503845,0.4784482717514038,0.5113636255264282,9,16
0.1,0.1,93,time_window,0.6678240895271301,0.48275861144065857,0.5303030014038086,9,16
0.2,0.1,13,binary,0.7319444417953491,0.5761589407920837,0.6325757503509521,11,16
0.2,0.1,13,n_bins,0.6472222208976746,0.46357616782188416,0.6325757503509521,11,16
0.2,0.1,13,spike_count,0.7507715821266174,0.6558823585510254,0.7310606241226196,13,16
0.2,0.1,13,timesurface,0.677314817905426,0.6066433787345886,0.6780303120613098,11,16
0.2,0.1,13,time_window,0.758873462677002,0.6602941155433655,0.6515151262283325,13,16
0.2,0.1,42,binary,0.6504629850387573,0.5182119011878967,0.6553030014038086,11,16
0.2,0.1,42,n_bins,0.6701388955116272,0.4959677457809448,0.5946969985961914,9,16
0.2,0.1,42,spike_count,0.7847222089767456,0.6611675024032593,0.685606062412262,15,16
0.2,0.1,42,timesurface,0.7714946866035461,0.663705587387085,0.75,15,16
0.2,0.1,42,time_window,0.8255208134651184,0.7243303656578064,0.7575757503509521,17,16
0.2,0.1,93,binary,0.6678240895271301,0.5665322542190552,0.5871211886405945,9,16
