train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.9,0.1,13,binary,0.8780927658081055,0.7418699264526367,0.8939393758773804,9,8
0.9,0.1,13,n_bins,0.833848774433136,0.6727272868156433,0.7954545617103577,7,8
0.9,0.1,13,spike_count,0.9532333612442017,0.9253981709480286,0.8939393758773804,23,8
0.9,0.1,13,timesurface,0.9234904050827026,0.8627451062202454,0.8901515007019043,15,8
0.9,0.1,13,time_window,0.8850515484809875,0.8310810923576355,0.8409090638160706,9,8
0.9,0.1,42,binary,0.8939003348350525,0.801699697971344,0.8674242496490479,13,8
0.9,0.1,42,n_bins,0.8821649551391602,0.7712854743003845,0.8295454382896423,11,16
0.9,0.1,42,spike_count,0.9045360684394836,0.8929219841957092,0.8712121248245239,11,8
0.9,0.1,42,timesurface,0.8868556618690491,0.8986486196517944,0.875,9,8
0.9,0.1,42,time_window,0.8972938060760498,0.869369387626648,0.8787878751754761,9,8
0.9,0.1,44,binary,0.9002062082290649,0.7829716205596924,0.8371211886405945,11,8
0.9,0.1,44,n_bins,0.8461340069770813,0.7317073345184326,0.8181818127632141,9,8
0.9,0.1,44,spike_count,0.8804123997688293,0.8468468189239502,0.8560606241226196,9,8
0.9,0.1,44,timesurface,0.9200171828269958,0.9088146090507507,0.9015151262283325,13,8
0.9,0.1,44,time_window,0.8856958746910095,0.8986486196517944,0.8901515007019043,9,8
0.9,0.1,45,binary,0.9060996770858765,0.8073654174804688,0.8674242496490479,13,8
0.9,0.1,45,n_bins,0.8609278202056885,0.6711185574531555,0.7651515007019043,11,8
0.9,0.1,45,spike_count,0.8800257444381714,0.8040540814399719,0.8977272510528564,9,8
0.9,0.1,45,timesurface,0.9498125314712524,0.9002514481544495,0.8522727489471436,23,8
0.9,0.1,45,time_window,0.9440721869468689,0.875,0.9280303120613098,17,8
0.9,0.1,59,binary,0.9225515723228455,0.834782600402832,0.8712121248245239,17,8
0.9,0.1,59,n_bins,0.8966494798660278,0.7521246671676636,0.8295454382896423,13,8
0.9,0.1,59,spike_count,0.9135738611221313,0.9072948098182678,0.8712121248245239,13,8
0.9,0.1,59,timesurface,0.8768041133880615,0.8529945611953735,0.8522727489471436,11,8
0.9,0.1,59,time_window,0.9172312021255493,0.9215686321258545,0.9128788113594055,15,8
0.9,0.1,6,binary,0.09226804226636887,0.055434782058000565,0.09090909361839294,17,8
0.9,0.1,6,n_bins,0.7029638886451721,0.630081295967102,0.7954545617103577,9,8
0.9,0.1,6,spike_count,0.8704897165298462,0.8761261105537415,0.8446969985961914,9,8
0.9,0.1,6,timesurface,0.9102233648300171,0.9164133667945862,0.9318181872367859,13,8
0.9,0.1,6,time_window,0.9367125034332275,0.8682329058647156,0.8825757503509521,19,8
0.9,0.1,93,binary,0.9205326437950134,0.7832860946655273,0.8371211886405945,13,8
0.9,0.1,93,n_bins,0.8678694367408752,0.7116883397102356,0.814393937587738,7,8
0.9,0.1,93,spike_count,0.8805412650108337,0.8536036014556885,0.8295454382896423,9,8
0.9,0.1,93,timesurface,0.9088488221168518,0.8966565132141113,0.8674242496490479,13,8
0.9,0.1,93,time_window,0.9384307265281677,0.886618971824646,0.8409090638160706,19,8
0.9,0.1,96,binary,0.9129725098609924,0.8314447402954102,0.8636363744735718,13,8
0.9,0.1,96,n_bins,0.9071133732795715,0.7813021540641785,0.8598484992980957,11,8
0.9,0.1,96,spike_count,0.8981443047523499,0.8929219841957092,0.8598484992980957,11,8
0.9,0.1,96,timesurface,0.8971649408340454,0.8890577554702759,0.8636363744735718,13,8
0.9,0.1,96,time_window,0.9101374745368958,0.8814589381217957,0.8977272510528564,13,8
0.9,0.1,98,binary,0.8780412077903748,0.7796327471733093,0.8674242496490479,11,8
0.9,0.1,98,n_bins,0.9329897165298462,0.8511685132980347,0.8787878751754761,15,8
0.9,0.1,98,spike_count,0.9182130694389343,0.8844984769821167,0.9431818127632141,13,8
0.9,0.1,98,timesurface,0.8593814373016357,0.8820326924324036,0.9204545617103577,11,8
0.9,0.1,98,time_window,0.9363033771514893,0.9058823585510254,0.8901515007019043,15,8
