train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,num_blocks
0.1,0.1,13,binary,0.25,0.21296297013759613,0.17803029716014862,19,8,1
0.1,0.1,13,binary,0.5,0.25,0.21969696879386902,15,8,3
0.1,0.1,13,n_bins,0.25,0.1666666716337204,0.17045454680919647,13,8,1
0.1,0.1,13,n_bins,0.75,0.28703704476356506,0.3598484992980957,27,8,3
0.1,0.1,13,spike_count,0.25,0.12962962687015533,0.1401515156030655,9,8,1
0.1,0.1,13,timesurface,0.25,0.1388888955116272,0.1515151560306549,9,8,1
0.1,0.1,13,time_window,0.25,0.1666666716337204,0.10606060922145844,9,8,1
0.1,0.1,42,binary,0.25,0.1875,0.19696970283985138,13,8,1
0.1,0.1,42,binary,0.75,0.3333333432674408,0.28787878155708313,27,8,3
0.1,0.1,42,n_bins,0.25,0.1944444477558136,0.09848485141992569,57,8,1
0.1,0.1,42,n_bins,0.25,0.25925925374031067,0.24242424964904785,17,8,3
0.1,0.1,42,timesurface,0.5,0.1875,0.20075757801532745,21,8,1
0.1,0.1,42,time_window,0.0,0.1875,0.13257575035095215,11,8,1
0.1,0.1,93,binary,0.25,0.3333333432674408,0.2348484843969345,23,8,3
0.1,0.1,93,binary,0.75,0.29629629850387573,0.2234848439693451,53,8,1
0.1,0.1,93,n_bins,0.5,0.2222222238779068,0.21590909361839294,45,8,1
0.1,0.1,93,n_bins,0.5,0.25925925374031067,0.13636364042758942,19,8,3
0.1,0.1,93,spike_count,0.0,0.20370370149612427,0.1931818127632141,37,8,1
0.1,0.1,93,timesurface,0.25,0.1666666716337204,0.1931818127632141,45,8,1
0.1,0.1,93,time_window,0.0,0.15740740299224854,0.1818181872367859,49,8,1
0.4,0.1,13,binary,0.1428571492433548,0.2777777910232544,0.3181818127632141,9,8,3
0.4,0.1,13,binary,0.1428571492433548,0.3888888955116272,0.2765151560306549,47,8,1
0.4,0.1,13,n_bins,0.2857142984867096,0.26851850748062134,0.19696970283985138,9,8,3
0.4,0.1,13,n_bins,0.4285714328289032,0.42592594027519226,0.43560606241226196,43,8,1
0.4,0.1,42,binary,0.2857142984867096,0.31481480598449707,0.1818181872367859,9,8,3
0.4,0.1,42,binary,0.4285714328289032,0.31481480598449707,0.2613636255264282,39,8,1
0.4,0.1,42,n_bins,0.1428571492433548,0.46296295523643494,0.34090909361839294,19,8,3
0.4,0.1,42,n_bins,0.2857142984867096,0.2777777910232544,0.26893940567970276,25,8,1
0.4,0.1,93,binary,0.4285714328289032,0.37037035822868347,0.3030303120613098,49,8,1
0.4,0.1,93,binary,0.5714285969734192,0.37037035822868347,0.17803029716014862,11,8,3
0.4,0.1,93,n_bins,0.1428571492433548,0.39814814925193787,0.3219696879386902,13,8,3
0.4,0.1,93,n_bins,0.2857142984867096,0.29629629850387573,0.34090909361839294,31,8,1
0.5,0.1,13,binary,0.0,0.375,0.2765151560306549,25,8,1
0.5,0.1,13,binary,0.0,0.5370370149612427,0.5151515007019043,23,8,3
0.5,0.1,13,n_bins,0.0,0.2777777910232544,0.280303031206131,21,8,1
0.5,0.1,13,n_bins,0.3333333432674408,0.25,0.280303031206131,7,8,3
0.5,0.1,42,binary,0.0,0.25925925374031067,0.20075757801532745,9,8,3
0.5,0.1,42,binary,0.3333333432674408,0.37962964177131653,0.35606059432029724,53,8,1
0.5,0.1,42,n_bins,0.3333333432674408,0.25,0.13257575035095215,17,8,1
0.5,0.1,42,n_bins,0.6666666865348816,0.25,0.21212121844291687,9,8,3
0.5,0.1,93,binary,0.0,0.42592594027519226,0.4204545319080353,53,8,1
0.5,0.1,93,binary,0.3333333432674408,0.37962964177131653,0.3219696879386902,19,8,3
0.5,0.1,93,n_bins,0.3333333432674408,0.31481480598449707,0.34090909361839294,37,8,1
0.5,0.1,93,n_bins,0.3333333432674408,0.34259259700775146,0.29924243688583374,9,8,3
0.7,0.1,13,binary,0.5,0.34259259700775146,0.4166666567325592,25,8,1
0.7,0.1,13,binary,1.0,0.43518519401550293,0.5189393758773804,15,8,3
