representation,coding,train_size,val_size,seed,bach_size,,,train_acc,val_acc,test_acc,epoch,loss=representation,beta
n_bins,count,0.1,0.1,42,8,0,0,0.5152,0.4773,11,8,count,0.9
n_bins,count,0.3,0.1,42,8,0,0,0.5871,0.5303,9,8,count,0.9
n_bins,count,0.5,0.1,42,8,0,0,0.8068,0.6591,23,8,count,0.9
n_bins,count,0.7,0.1,42,8,0,0,0.8068,0.6136,29,8,count,0.9
n_bins,count,0.9,0.1,42,8,0,0,0.8371,0.7045,13,8,count,0.9
binary,count,0.1,0.1,42,8,0,0,0.0909,0.0909,11,8,count,0.9
binary,count,0.3,0.1,42,8,0,0,0.0909,0.0909,9,8,count,0.9
binary,count,0.5,0.1,42,8,0,0,0.0909,0.0909,23,8,count,0.9
binary,count,0.7,0.1,42,8,0,0,0.0909,0.0909,29,8,count,0.9
binary,count,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,count,0.9
time_window,count,0.1,0.1,42,8,0,0,0.3106,0.3144,11,8,count,0.9
time_window,count,0.3,0.1,42,8,0,0,0.2765,0.2765,9,8,count,0.9
time_window,count,0.5,0.1,42,8,0,0,0.3939,0.3788,23,8,count,0.9
time_window,count,0.7,0.1,42,8,0,0,0.4924,0.4659,29,8,count,0.9
time_window,count,0.9,0.1,42,8,0,0,0.3902,0.3598,13,8,count,0.9
spike_count,count,0.1,0.1,42,8,0,0,0.4015,0.4205,11,8,count,0.9
spike_count,count,0.3,0.1,42,8,0,0,0.3977,0.3788,9,8,count,0.9
spike_count,count,0.5,0.1,42,8,0,0,0.5833,0.5606,23,8,count,0.9
spike_count,count,0.7,0.1,42,8,0,0,0.6250,0.5530,29,8,count,0.9
spike_count,count,0.9,0.1,42,8,0,0,0.6098,0.5568,13,8,count,0.9
timesurface,count,0.1,0.1,42,8,0,0,0.0909,0.0909,11,8,count,0.9
timesurface,count,0.3,0.1,42,8,0,0,0.0909,0.0909,9,8,count,0.9
timesurface,count,0.5,0.1,42,8,0,0,0.0909,0.0909,23,8,count,0.9
timesurface,count,0.7,0.1,42,8,0,0,0.0909,0.0909,29,8,count,0.9
timesurface,count,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,count,0.9
n_bins,count,0.1,0.1,13,8,0,0,0.5417,0.5000,9,8,count,0.9
n_bins,count,0.3,0.1,13,8,0,0,0.5530,0.5076,9,8,count,0.9
n_bins,count,0.5,0.1,13,8,0,0,0.8182,0.6856,21,8,count,0.9
n_bins,count,0.7,0.1,13,8,0,0,0.7008,0.5720,13,8,count,0.9
n_bins,count,0.9,0.1,13,8,0,0,0.8295,0.6174,13,8,count,0.9
binary,count,0.1,0.1,13,8,0,0,0.0909,0.0909,9,8,count,0.9
binary,count,0.3,0.1,13,8,0,0,0.0909,0.0909,9,8,count,0.9
binary,count,0.5,0.1,13,8,0,0,0.1212,0.1174,21,8,count,0.9
binary,count,0.7,0.1,13,8,0,0,0.0985,0.0985,13,8,count,0.9
binary,count,0.9,0.1,13,8,0,0,0.1553,0.1439,13,8,count,0.9
time_window,count,0.1,0.1,13,8,0,0,0.3182,0.3068,9,8,count,0.9
time_window,count,0.3,0.1,13,8,0,0,0.4280,0.4053,9,8,count,0.9
time_window,count,0.5,0.1,13,8,0,0,0.4280,0.4280,21,8,count,0.9
time_window,count,0.7,0.1,13,8,0,0,0.4962,0.4280,13,8,count,0.9
time_window,count,0.9,0.1,13,8,0,0,0.3295,0.3674,13,8,count,0.9
spike_count,count,0.1,0.1,13,8,0,0,0.4053,0.3977,9,8,count,0.9
spike_count,count,0.3,0.1,13,8,0,0,0.5227,0.4356,9,8,count,0.9
spike_count,count,0.5,0.1,13,8,0,0,0.6515,0.5947,21,8,count,0.9
spike_count,count,0.7,0.1,13,8,0,0,0.6856,0.6212,13,8,count,0.9
spike_count,count,0.9,0.1,13,8,0,0,0.5568,0.5833,13,8,count,0.9
timesurface,count,0.1,0.1,13,8,0,0,0.0909,0.0909,9,8,count,0.9
timesurface,count,0.3,0.1,13,8,0,0,0.0909,0.0909,9,8,count,0.9
timesurface,count,0.5,0.1,13,8,0,0,0.0909,0.0909,21,8,count,0.9
timesurface,count,0.7,0.1,13,8,0,0,0.0985,0.0985,13,8,count,0.9
timesurface,count,0.9,0.1,13,8,0,0,0.0909,0.0909,13,8,count,0.9
n_bins,count,0.1,0.1,93,8,0,0,0.5417,0.4735,11,8,count,0.9
n_bins,count,0.3,0.1,93,8,0,0,0.5758,0.5530,11,8,count,0.9
n_bins,count,0.5,0.1,93,8,0,0,0.6098,0.5189,13,8,count,0.9
n_bins,count,0.7,0.1,93,8,0,0,0.8220,0.6250,21,8,count,0.9
n_bins,count,0.9,0.1,93,8,0,0,0.8523,0.7386,25,8,count,0.9
binary,count,0.1,0.1,93,8,0,0,0.0909,0.0909,11,8,count,0.9
binary,count,0.3,0.1,93,8,0,0,0.0909,0.0909,11,8,count,0.9
binary,count,0.5,0.1,93,8,0,0,0.0909,0.0909,13,8,count,0.9
binary,count,0.7,0.1,93,8,0,0,0.1326,0.1212,21,8,count,0.9
binary,count,0.9,0.1,93,8,0,0,0.0909,0.0909,25,8,count,0.5
time_window,count,0.1,0.1,93,8,0,0,0.2273,0.2197,11,8,count,0.5
time_window,count,0.3,0.1,93,8,0,0,0.2576,0.2652,11,8,count,0.5
time_window,count,0.5,0.1,93,8,0,0,0.3939,0.3674,13,8,count,0.5
time_window,count,0.7,0.1,93,8,0,0,0.4356,0.4167,21,8,count,0.9
time_window,count,0.9,0.1,93,8,0,0,0.5038,0.4811,25,8,count,0.5
spike_count,count,0.1,0.1,93,8,0,0,0.3636,0.3371,11,8,count,0.5
spike_count,count,0.3,0.1,93,8,0,0,0.3750,0.3902,11,8,count,0.5
