train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.1,0.1,13,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),15,8
0.1,0.1,13,n_bins,0.0,0.0,tensor(0.5606),tensor(0.5303),15,8
0.1,0.1,13,spike_count,0.0,0.0,tensor(0.4621),tensor(0.4129),15,8
0.1,0.1,42,binary,0.0,0.0,tensor(0.1818),tensor(0.1856),19,8
0.1,0.1,42,n_bins,0.0,0.0,tensor(0.5871),tensor(0.5530),19,8
0.1,0.1,42,time_window,0.0,0.0,tensor(0.4924),tensor(0.4242),19,8
0.1,0.1,44,binary,0.0,0.0,tensor(0.1098),tensor(0.1098),15,8
0.1,0.1,44,n_bins,0.0,0.0,tensor(0.5152),tensor(0.5379),15,8
0.1,0.1,44,time_window,0.0,0.0,tensor(0.4508),tensor(0.4205),15,8
0.1,0.1,45,binary,0.0,0.0,tensor(0.1250),tensor(0.1288),13,8
0.1,0.1,45,n_bins,0.0,0.0,tensor(0.5379),tensor(0.5265),13,8
0.1,0.1,45,spike_count,0.0,0.0,tensor(0.4773),tensor(0.4053),13,8
0.1,0.1,59,binary,0.0,0.0,tensor(0.2500),tensor(0.2273),17,8
0.1,0.1,59,n_bins,0.0,0.0,tensor(0.5606),tensor(0.5606),17,8
0.1,0.1,59,spike_count,0.0,0.0,tensor(0.4886),tensor(0.4318),17,8
0.1,0.1,6,binary,0.0,0.0,tensor(0.1136),tensor(0.1136),15,8
0.1,0.1,6,n_bins,0.0,0.0,tensor(0.5189),tensor(0.5152),15,8
0.1,0.1,6,time_window,0.0,0.0,tensor(0.4697),tensor(0.4394),15,8
0.1,0.1,93,binary,0.0,0.0,tensor(0.1098),tensor(0.1098),11,8
0.1,0.1,93,n_bins,0.0,0.0,tensor(0.5492),tensor(0.5189),11,8
0.1,0.1,96,binary,0.0,0.0,tensor(0.1212),tensor(0.1212),15,8
0.1,0.1,96,n_bins,0.0,0.0,tensor(0.5833),tensor(0.5455),15,8
0.1,0.1,96,spike_count,0.0,0.0,tensor(0.5189),tensor(0.4962),15,8
0.1,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.1,0.1,98,n_bins,0.0,0.0,tensor(0.5909),tensor(0.5682),19,8
0.1,0.1,98,spike_count,0.0,0.0,tensor(0.4962),tensor(0.4167),19,8
0.2,0.1,13,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.2,0.1,13,n_bins,0.0,0.0,tensor(0.6250),tensor(0.5720),13,8
0.2,0.1,13,spike_count,0.0,0.0,tensor(0.5720),tensor(0.4583),13,8
0.2,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.2,0.1,42,n_bins,0.0,0.0,tensor(0.6098),tensor(0.5606),13,8
0.2,0.1,42,spike_count,0.0,0.0,tensor(0.5341),tensor(0.4394),13,8
0.2,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.2,0.1,44,n_bins,0.0,0.0,tensor(0.6364),tensor(0.5795),19,8
0.2,0.1,44,spike_count,0.0,0.0,tensor(0.5417),tensor(0.4924),19,8
0.2,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),15,8
0.2,0.1,45,n_bins,0.0,0.0,tensor(0.6477),tensor(0.5909),15,8
0.2,0.1,45,time_window,0.0,0.0,tensor(0.4924),tensor(0.4432),15,8
0.2,0.1,59,binary,0.0,0.0,tensor(0.0985),tensor(0.0985),13,8
0.2,0.1,59,n_bins,0.0,0.0,tensor(0.6250),tensor(0.5795),13,8
0.2,0.1,59,time_window,0.0,0.0,tensor(0.4508),tensor(0.3939),13,8
0.2,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),11,8
0.2,0.1,6,n_bins,0.0,0.0,tensor(0.6212),tensor(0.6023),11,8
0.2,0.1,6,spike_count,0.0,0.0,tensor(0.5720),tensor(0.4811),11,8
0.2,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),11,8
0.2,0.1,93,n_bins,0.0,0.0,tensor(0.5720),tensor(0.5758),11,8
0.2,0.1,93,time_window,0.0,0.0,tensor(0.4773),tensor(0.3902),11,8
0.2,0.1,96,binary,0.0,0.0,tensor(0.1098),tensor(0.1212),17,8
0.2,0.1,96,n_bins,0.0,0.0,tensor(0.6780),tensor(0.6061),17,8
0.2,0.1,96,spike_count,0.0,0.0,tensor(0.5606),tensor(0.4773),17,8
0.2,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.2,0.1,98,n_bins,0.0,0.0,tensor(0.5833),tensor(0.5795),13,8
0.2,0.1,98,time_window,0.0,0.0,tensor(0.4432),tensor(0.4280),13,8
0.3,0.1,13,binary,0.0,0.0,tensor(0.1402),tensor(0.1515),21,8
0.3,0.1,13,n_bins,0.0,0.0,tensor(0.6591),tensor(0.6742),21,8
0.3,0.1,13,spike_count,0.0,0.0,tensor(0.5530),tensor(0.4735),21,8
0.3,0.1,13,time_window,0.0,0.0,tensor(0.4318),tensor(0.4242),21,8
0.3,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.3,0.1,42,n_bins,0.0,0.0,tensor(0.5871),tensor(0.5682),17,8
0.3,0.1,42,spike_count,0.0,0.0,tensor(0.5606),tensor(0.5000),17,8
0.3,0.1,42,time_window,0.0,0.0,tensor(0.5000),tensor(0.4280),17,8
