representation,coding,train_size,val_size,seed,bach_size,,,train_acc,val_acc,test_acc,epoch,loss=representation,beta
n_bins,frequency,0.1,0.1,42,8,0,0,0.5871,0.5530,19,8,frequency,0.5
n_bins,frequency,0.3,0.1,42,8,0,0,0.5871,0.5682,17,8,frequency,0.5
n_bins,frequency,0.5,0.1,42,8,0,0,0.6856,0.6212,19,8,frequency,0.5
n_bins,frequency,0.7,0.1,42,8,0,0,0.7121,0.6629,23,8,frequency,0.5
n_bins,frequency,0.9,0.1,42,8,0,0,0.7008,0.6477,27,8,frequency,0.5
binary,frequency,0.1,0.1,42,8,0,0,0.1818,0.1856,19,8,frequency,0.5
binary,frequency,0.3,0.1,42,8,0,0,0.0909,0.0909,17,8,frequency,0.5
binary,frequency,0.5,0.1,42,8,0,0,0.3030,0.2500,19,8,frequency,0.5
binary,frequency,0.7,0.1,42,8,0,0,0.4621,0.4773,23,8,frequency,0.5
binary,frequency,0.9,0.1,42,8,0,0,0.4697,0.3333,27,8,frequency,0.5
time_window,frequency,0.1,0.1,42,8,0,0,0.4924,0.4242,19,8,frequency,0.5
time_window,frequency,0.3,0.1,42,8,0,0,0.5000,0.4280,17,8,frequency,0.5
time_window,frequency,0.5,0.1,42,8,0,0,0.4318,0.4621,19,8,frequency,0.5
time_window,frequency,0.7,0.1,42,8,0,0,0.4470,0.4545,23,8,frequency,0.5
time_window,frequency,0.9,0.1,42,8,0,0,0.4167,0.4167,27,8,frequency,0.5
spike_count,frequency,0.1,0.1,42,8,0,0,0.5000,0.4659,19,8,frequency,0.5
spike_count,frequency,0.3,0.1,42,8,0,0,0.5606,0.5000,17,8,frequency,0.5
spike_count,frequency,0.5,0.1,42,8,0,0,0.5682,0.5114,19,8,frequency,0.5
spike_count,frequency,0.7,0.1,42,8,0,0,0.5833,0.5152,23,8,frequency,0.5
spike_count,frequency,0.9,0.1,42,8,0,0,0.4962,0.4924,27,8,frequency,0.5
timesurface,frequency,0.1,0.1,42,8,0,0,0.1780,0.1818,19,8,frequency,0.5
timesurface,frequency,0.3,0.1,42,8,0,0,0.0909,0.0909,17,8,frequency,0.5
timesurface,frequency,0.5,0.1,42,8,0,0,0.3182,0.3333,19,8,frequency,0.5
timesurface,frequency,0.7,0.1,42,8,0,0,0.3674,0.3826,23,8,frequency,0.5
timesurface,frequency,0.9,0.1,42,8,0,0,0.2689,0.2462,27,8,frequency,0.5
n_bins,frequency,0.1,0.1,13,8,0,0,0.5606,0.5303,15,8,frequency,0.5
n_bins,frequency,0.3,0.1,13,8,0,0,0.6591,0.6742,21,8,frequency,0.5
n_bins,frequency,0.5,0.1,13,8,0,0,0.7008,0.6326,23,8,frequency,0.5
n_bins,frequency,0.7,0.1,13,8,0,0,0.7311,0.6591,21,8,frequency,0.5
