train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.1,0.1,13,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,13,n_bins,0.0,0.0,tensor(0.2689),tensor(0.2500),7,8
0.1,0.1,13,spike_count,0.0,0.0,tensor(0.1477),tensor(0.1477),7,8
0.1,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),9,8
0.1,0.1,42,n_bins,0.0,0.0,tensor(0.3864),tensor(0.3826),9,8
0.1,0.1,42,spike_count,0.0,0.0,tensor(0.2273),tensor(0.2273),9,8
0.1,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),9,8
0.1,0.1,44,n_bins,0.0,0.0,tensor(0.4091),tensor(0.4015),9,8
0.1,0.1,44,spike_count,0.0,0.0,tensor(0.2727),tensor(0.2917),9,8
0.1,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,45,n_bins,0.0,0.0,tensor(0.3750),tensor(0.3750),7,8
0.1,0.1,45,spike_count,0.0,0.0,tensor(0.2045),tensor(0.2045),7,8
0.1,0.1,59,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),9,8
0.1,0.1,59,n_bins,0.0,0.0,tensor(0.4015),tensor(0.4053),9,8
0.1,0.1,59,spike_count,0.0,0.0,tensor(0.2311),tensor(0.2311),9,8
0.1,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,6,n_bins,0.0,0.0,tensor(0.4091),tensor(0.3788),7,8
0.1,0.1,6,spike_count,0.0,0.0,tensor(0.3485),tensor(0.3409),7,8
0.1,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,93,n_bins,0.0,0.0,tensor(0.3561),tensor(0.3447),7,8
0.1,0.1,93,spike_count,0.0,0.0,tensor(0.1136),tensor(0.1136),7,8
0.1,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,96,n_bins,0.0,0.0,tensor(0.4659),tensor(0.4432),7,8
0.1,0.1,96,spike_count,0.0,0.0,tensor(0.2045),tensor(0.2045),7,8
0.1,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.1,0.1,98,n_bins,0.0,0.0,tensor(0.1970),tensor(0.1856),7,8
0.1,0.1,98,spike_count,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.2,0.1,13,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.2,0.1,13,n_bins,0.0,0.0,tensor(0.5492),tensor(0.5265),19,8
0.2,0.1,13,spike_count,0.0,0.0,tensor(0.1818),tensor(0.1818),19,8
0.2,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.2,0.1,42,n_bins,0.0,0.0,tensor(0.5530),tensor(0.5492),17,8
0.2,0.1,42,spike_count,0.0,0.0,tensor(0.1894),tensor(0.1894),17,8
0.2,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.2,0.1,44,n_bins,0.0,0.0,tensor(0.5833),tensor(0.5303),27,8
