representation,coding,train_size,val_size,seed,bach_size,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,epoch,batch_size,loss,beta
n_bins,latency,0.1,0.1,42,8,0,0,0.4167,0.3977,11,8,latency,0.5
n_bins,latency,0.3,0.1,42,8,0,0,0.6629,0.6402,23,8,latency,0.5
n_bins,latency,0.5,0.1,42,8,0,0,0.7348,0.6932,13,8,latency,0.5
n_bins,latency,0.7,0.1,42,8,0,0,0.7765,0.7386,11,8,latency,0.5
n_bins,latency,0.9,0.1,42,8,0,0,0.7462,0.7083,13,8,latency,0.5
binary,latency,0.1,0.1,42,8,0,0,0.0909,0.0909,11,8,latency,0.5
binary,latency,0.3,0.1,42,8,0,0,0.0909,0.0909,23,8,latency,0.5
binary,latency,0.5,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
binary,latency,0.7,0.1,42,8,0,0,0.1250,0.1288,11,8,latency,0.5
binary,latency,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
time_window,latency,0.1,0.1,42,8,0,0,0.1061,0.1061,11,8,latency,0.5
time_window,latency,0.3,0.1,42,8,0,0,0.1894,0.1970,23,8,latency,0.5
time_window,latency,0.5,0.1,42,8,0,0,0.3068,0.3144,13,8,latency,0.5
time_window,latency,0.7,0.1,42,8,0,0,0.2197,0.2197,11,8,latency,0.5
time_window,latency,0.9,0.1,42,8,0,0,0.2841,0.2689,13,8,latency,0.5
spike_count,latency,0.1,0.1,42,8,0,0,0.1894,0.1894,11,8,latency,0.5
spike_count,latency,0.3,0.1,42,8,0,0,0.3371,0.3295,23,8,latency,0.5
spike_count,latency,0.5,0.1,42,8,0,0,0.4394,0.4432,13,8,latency,0.5
spike_count,latency,0.7,0.1,42,8,0,0,0.3295,0.3258,11,8,latency,0.5
spike_count,latency,0.9,0.1,42,8,0,0,0.3674,0.3788,13,8,latency,0.5
timesurface,latency,0.1,0.1,42,8,0,0,0.0909,0.0909,11,8,latency,0.5
timesurface,latency,0.3,0.1,42,8,0,0,0.0909,0.0909,23,8,latency,0.5
timesurface,latency,0.5,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
timesurface,latency,0.7,0.1,42,8,0,0,0.0909,0.0909,11,8,latency,0.5
timesurface,latency,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
n_bins,latency,0.1,0.1,13,8,0,0,0.4470,0.4470,11,8,latency,0.5
n_bins,latency,0.3,0.1,13,8,0,0,0.6515,0.6061,9,8,latency,0.5
n_bins,latency,0.5,0.1,13,8,0,0,0.8106,0.7500,19,8,latency,0.5
n_bins,latency,0.7,0.1,13,8,0,0,0.8333,0.8144,25,8,latency,0.5
n_bins,latency,0.9,0.1,13,8,0,0,0.7197,0.7045,11,8,latency,0.5
binary,latency,0.1,0.1,13,8,0,0,0.0909,0.0909,11,8,latency,0.5
binary,latency,0.3,0.1,13,8,0,0,0.0909,0.0909,9,8,latency,0.5
binary,latency,0.5,0.1,13,8,0,0,0.0909,0.0909,19,8,latency,0.5
binary,latency,0.7,0.1,13,8,0,0,0.0909,0.0909,25,8,latency,0.5
binary,latency,0.9,0.1,13,8,0,0,0.0985,0.0985,11,8,latency,0.5
time_window,latency,0.1,0.1,13,8,0,0,0.1477,0.1477,11,8,latency,0.5
time_window,latency,0.3,0.1,13,8,0,0,0.2424,0.2424,9,8,latency,0.5
time_window,latency,0.5,0.1,13,8,0,0,0.2955,0.2879,19,8,latency,0.5
time_window,latency,0.7,0.1,13,8,0,0,0.2538,0.2538,25,8,latency,0.5
time_window,latency,0.9,0.1,13,8,0,0,0.1591,0.1591,11,8,latency,0.5
spike_count,latency,0.1,0.1,13,8,0,0,0.2500,0.2538,11,8,latency,0.5
spike_count,latency,0.3,0.1,13,8,0,0,0.3674,0.3598,9,8,latency,0.5
spike_count,latency,0.5,0.1,13,8,0,0,0.4280,0.4242,19,8,latency,0.5
