representation,loss,train_size,val_size,random_seed,batch_size,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size,loss,beta
n_bins,count,0.9,0.1,42,8,0,0,0.8371,0.7045,13,8,count,0.9
binary,count,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,count,0.9
time_window,count,0.9,0.1,42,8,0,0,0.3902,0.3598,13,8,count,0.9
spike_count,count,0.9,0.1,42,8,0,0,0.6098,0.5568,13,8,count,0.9
timesurface,count,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,count,0.9
n_bins,count,0.9,0.1,13,8,0,0,0.8295,0.6174,13,8,count,0.9
binary,count,0.9,0.1,13,8,0,0,0.1553,0.1439,13,8,count,0.9
time_window,count,0.9,0.1,13,8,0,0,0.3295,0.3674,13,8,count,0.9
spike_count,count,0.9,0.1,13,8,0,0,0.5568,0.5833,13,8,count,0.9
timesurface,count,0.9,0.1,13,8,0,0,0.0909,0.0909,13,8,count,0.9
n_bins,count,0.9,0.1,93,8,0,0,0.8523,0.7386,25,8,count,0.9
binary,count,0.9,0.1,93,8,0,0,0.0909,0.0909,25,8,count,0.9
time_window,count,0.9,0.1,93,8,0,0,0.5038,0.4811,25,8,count,0.9
spike_count,count,0.9,0.1,93,8,0,0,0.6591,0.6326,25,8,count,0.9
timesurface,count,0.9,0.1,93,8,0,0,
n_bins,count,0.9,0.1,45,8,0,0,0.8523,0.7652,19,8,count,0.9
binary,count,0.9,0.1,45,8,0,0,0.1061,0.1023,19,8,count,0.9
time_window,count,0.9,0.1,45,8,0,0,0.4318,0.4053,19,8,count,0.9
spike_count,count,0.9,0.1,45,8,0,0,0.6136,0.5568,19,8,count,0.9
timesurface,count,0.9,0.1,45,8,0,0,0.0909,0.0909,19,8,count,0.9
n_bins,count,0.9,0.1,96,8,0,0,0.8409,0.6553,15,8,count,0.9
binary,count,0.9,0.1,96,8,0,0,0.0909,0.0909,15,8,count,0.9
time_window,count,0.9,0.1,96,8,0,0,0.4318,0.3864,15,8,count,0.9
spike_count,count,0.9,0.1,96,8,0,0,0.6250,0.5947,15,8,count,0.9
timesurface,count,0.9,0.1,96,8,0,0,0.0909,0.0909,15,8,count,0.9
n_bins,count,0.9,0.1,6,8,0,0,0.8598,0.7083,17,8,count,0.9
binary,count,0.9,0.1,6,8,0,0,0.0909,0.0909,17,8,count,0.9
time_window,count,0.9,0.1,6,8,0,0,0.4053,0.3902,17,8,count,0.9
spike_count,count,0.9,0.1,6,8,0,0,0.5985,0.6136,17,8,count,0.9
timesurface,count,0.9,0.1,6,8,0,0,0.0909,0.0909,17,8,count,0.9
n_bins,count,0.9,0.1,98,8,0,0,0.8561,0.6894,25,8,count,0.9
binary,count,0.9,0.1,98,8,0,0,0.1098,0.1136,25,8,count,0.9
time_window,count,0.9,0.1,98,8,0,0,0.5038,0.5114,25,8,count,0.9
spike_count,count,0.9,0.1,98,8,0,0,0.6629,0.6212,25,8,count,0.9
timesurface,count,0.9,0.1,98,8,0,0,0.0909,0.0909,25,8,count,0.9
n_bins,count,0.9,0.1,59,8,0,0,0.7159,0.5985,9,8,count,0.9
binary,count,0.9,0.1,59,8,0,0,0.0909,0.0909,9,8,count,0.9
time_window,count,0.9,0.1,59,8,0,0,0.3674,0.3523,9,8,count,0.9
spike_count,count,0.9,0.1,59,8,0,0,0.5530,0.5076,9,8,count,0.9
timesurface,count,0.9,0.1,59,8,0,0,0.0909,0.0909,9,8,count,0.9
n_bins,count,0.9,0.1,44,8,0,0,0.8636,0.7083,21,8,count,0.9
binary,count,0.9,0.1,44,8,0,0,0.1136,0.1098,21,8,count,0.9
time_window,count,0.9,0.1,44,8,0,0,0.5568,0.5076,21,8,count,0.9
spike_count,count,0.9,0.1,44,8,0,0,0.7538,0.6515,21,8,count,0.9
timesurface,count,0.9,0.1,44,8,0,0,0.0909,0.0909,21,8,count,0.9
