train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.9,0.1,13,binary,0.0,0.0,tensor(0.4318),tensor(0.3864),17,8
0.9,0.1,13,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6591),17,8
0.9,0.1,13,spike_count,0.0,0.0,tensor(0.5417),tensor(0.5265),17,8
0.9,0.1,13,time_window,0.0,0.0,tensor(0.4394),tensor(0.4053),17,8
0.9,0.1,42,binary,0.0,0.0,tensor(0.4697),tensor(0.3333),27,8
0.9,0.1,42,n_bins,0.0,0.0,tensor(0.7008),tensor(0.6477),27,8
0.9,0.1,42,spike_count,0.0,0.0,tensor(0.4962),tensor(0.4924),27,8
0.9,0.1,42,time_window,0.0,0.0,tensor(0.4167),tensor(0.4167),27,8
0.9,0.1,44,binary,0.0,0.0,tensor(0.3977),tensor(0.3561),33,8
0.9,0.1,44,n_bins,0.0,0.0,tensor(0.7235),tensor(0.6970),33,8
0.9,0.1,44,spike_count,0.0,0.0,tensor(0.5076),tensor(0.4508),33,8
0.9,0.1,44,time_window,0.0,0.0,tensor(0.4015),tensor(0.3864),33,8
0.9,0.1,45,binary,0.0,0.0,tensor(0.2803),tensor(0.2803),23,8
0.9,0.1,45,n_bins,0.0,0.0,tensor(0.7311),tensor(0.6667),23,8
0.9,0.1,45,spike_count,0.0,0.0,tensor(0.5114),tensor(0.4508),23,8
0.9,0.1,45,time_window,0.0,0.0,tensor(0.4015),tensor(0.3561),23,8
0.9,0.1,59,binary,0.0,0.0,tensor(0.4621),tensor(0.3977),25,8
0.9,0.1,59,n_bins,0.0,0.0,tensor(0.6932),tensor(0.6629),25,8
0.9,0.1,59,spike_count,0.0,0.0,tensor(0.5152),tensor(0.4697),25,8
0.9,0.1,59,time_window,0.0,0.0,tensor(0.4167),tensor(0.4129),25,8
0.9,0.1,6,binary,0.0,0.0,tensor(0.3902),tensor(0.3939),19,8
0.9,0.1,6,n_bins,0.0,0.0,tensor(0.7159),tensor(0.6970),19,8
0.9,0.1,6,spike_count,0.0,0.0,tensor(0.5265),tensor(0.5000),19,8
0.9,0.1,6,time_window,0.0,0.0,tensor(0.4091),tensor(0.4015),19,8
0.9,0.1,93,binary,0.0,0.0,tensor(0.2159),tensor(0.1818),21,8
0.9,0.1,93,n_bins,0.0,0.0,tensor(0.7311),tensor(0.6894),21,8
0.9,0.1,93,time_window,0.0,0.0,tensor(0.3826),tensor(0.3826),21,8
0.9,0.1,96,binary,0.0,0.0,tensor(0.4470),tensor(0.3750),21,8
0.9,0.1,96,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6705),21,8
0.9,0.1,96,spike_count,0.0,0.0,tensor(0.5227),tensor(0.4621),21,8
0.9,0.1,96,time_window,0.0,0.0,tensor(0.3864),tensor(0.4091),21,8
0.9,0.1,98,binary,0.0,0.0,tensor(0.3636),tensor(0.3712),19,8
0.9,0.1,98,n_bins,0.0,0.0,tensor(0.7159),tensor(0.6742),19,8
0.9,0.1,98,spike_count,0.0,0.0,tensor(0.4735),tensor(0.4583),19,8
0.9,0.1,98,time_window,0.0,0.0,tensor(0.3902),tensor(0.3826),19,8
