representation,coding,train_size,val_size,seed,bach_size,,,train_acc,val_acc,test_acc,epoch,loss=representation,beta
n_bins,latency,0.9,0.1,42,8,0,0,0.7462,0.7083,13,8,latency,0.5
binary,latency,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
time_window,latency,0.9,0.1,42,8,0,0,0.2841,0.2689,13,8,latency,0.5
spike_count,latency,0.9,0.1,42,8,0,0,0.3674,0.3788,13,8,latency,0.5
timesurface,latency,0.9,0.1,42,8,0,0,0.0909,0.0909,13,8,latency,0.5
n_bins,latency,0.9,0.1,13,8,0,0,0.7197,0.7045,11,8,latency,0.5
binary,latency,0.9,0.1,13,8,0,0,0.0985,0.0985,11,8,latency,0.5
time_window,latency,0.9,0.1,13,8,0,0,0.1591,0.1591,11,8,latency,0.5
spike_count,latency,0.9,0.1,13,8,0,0,0.2045,0.2045,11,8,latency,0.5
timesurface,latency,0.9,0.1,13,8,0,0,0.0909,0.0909,11,8,latency,0.5
n_bins,latency,0.9,0.1,93,8,0,0,0.8144,0.7841,15,8,latency,0.5
binary,latency,0.9,0.1,93,8,0,0,0.0909,0.0909,15,8,latency,0.5
time_window,latency,0.9,0.1,93,8,0,0,0.2083,0.2083,15,8,latency,0.5
spike_count,latency,0.9,0.1,93,8,0,0,0.2917,0.2955,15,8,latency,0.5
timesurface,latency,0.9,0.1,93,8,0,0,0.0909,0.0909,15,8,latency,0.5
n_bins,latency,0.9,0.1,45,8,0,0,0.7992,0.7917,17,8,latency,0.5
binary,latency,0.9,0.1,45,8,0,0,0.0909,0.0909,17,8,latency,0.5
time_window,latency,0.9,0.1,45,8,0,0,0.1402,0.1364,17,8,latency,0.5
spike_count,latency,0.9,0.1,45,8,0,0,0.2803,0.2727,17,8,latency,0.5
timesurface,latency,0.9,0.1,45,8,0,0,0.0909,0.0909,17,8,latency,0.5
n_bins,latency,0.9,0.1,96,8,0,0,0.8598,0.7992,27,8,latency,0.5
binary,latency,0.9,0.1,96,8,0,0,0.0909,0.0909,27,8,latency,0.5
time_window,latency,0.9,0.1,96,8,0,0,0.2689,0.2765,27,8,latency,0.5
spike_count,latency,0.9,0.1,96,8,0,0,0.4508,0.4394,27,8,latency,0.5
timesurface,latency,0.9,0.1,96,8,0,0,0.0909,0.0909,27,8,latency,0.5
n_bins,latency,0.9,0.1,6,8,0,0,0.8030,0.7841,17,8,latency,0.5
binary,latency,0.9,0.1,6,8,0,0,0.0909,0.0909,17,8,latency,0.5
time_window,latency,0.9,0.1,6,8,0,0,0.2235,0.2386,17,8,latency,0.5
spike_count,latency,0.9,0.1,6,8,0,0,0.2955,0.2917,17,8,latency,0.5
timesurface,latency,0.9,0.1,6,8,0,0,0.0909,0.0909,17,8,latency,0.5
n_bins,latency,0.9,0.1,98,8,0,0,0.7955,0.7765,21,8,latency,0.5
binary,latency,0.9,0.1,98,8,0,0,0.0909,0.0909,21,8,latency,0.5
time_window,latency,0.9,0.1,98,8,0,0,0.2917,0.2955,21,8,latency,0.5
spike_count,latency,0.9,0.1,98,8,0,0,0.3902,0.3864,21,8,latency,0.5
timesurface,latency,0.9,0.1,98,8,0,0,0.0909,0.0909,21,8,latency,0.5
n_bins,latency,0.9,0.1,59,8,0,0,0.7955,0.7348,15,8,latency,0.5
binary,latency,0.9,0.1,59,8,0,0,0.0909,0.0909,15,8,latency,0.5
time_window,latency,0.9,0.1,59,8,0,0,0.3371,0.3333,15,8,latency,0.5
spike_count,latency,0.9,0.1,59,8,0,0,0.4773,0.4735,15,8,latency,0.5
timesurface,latency,0.9,0.1,59,8,0,0,0.0909,0.0909,15,8,latency,0.5
n_bins,latency,0.9,0.1,44,8,0,0,0.7500,0.7083,21,8,latency,0.5
binary,latency,0.9,0.1,44,8,0,0,0.0909,0.0909,21,8,latency,0.5
time_window,latency,0.9,0.1,44,8,0,0,0.2462,0.2424,21,8,latency,0.5
spike_count,latency,0.9,0.1,44,8,0,0,0.3447,0.3258,21,8,latency,0.5
timesurface,latency,0.9,0.1,44,8,0,0,0.0909,0.0909,17,8,latency,0.5
#Missing 0 values
