train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.9,0.1,13,binary,0.0,0.0,tensor(0.0985),tensor(0.0985),11,8
0.9,0.1,13,n_bins,0.0,0.0,tensor(0.7197),tensor(0.7045),11,8
0.9,0.1,13,time_window,0.0,0.0,tensor(0.1591),tensor(0.1591),11,8
0.9,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.9,0.1,42,n_bins,0.0,0.0,tensor(0.7462),tensor(0.7083),13,8
0.9,0.1,42,time_window,0.0,0.0,tensor(0.2841),tensor(0.2689),13,8
0.9,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),21,8
0.9,0.1,44,n_bins,0.0,0.0,tensor(0.7500),tensor(0.7083),21,8
0.9,0.1,44,time_window,0.0,0.0,tensor(0.2462),tensor(0.2424),21,8
0.9,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.9,0.1,45,n_bins,0.0,0.0,tensor(0.7992),tensor(0.7917),17,8
0.9,0.1,45,spike_count,0.0,0.0,tensor(0.2803),tensor(0.2727),17,8
0.9,0.1,45,time_window,0.0,0.0,tensor(0.1402),tensor(0.1364),17,8
0.9,0.1,59,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),15,8
0.9,0.1,59,n_bins,0.0,0.0,tensor(0.7955),tensor(0.7348),15,8
0.9,0.1,59,spike_count,0.0,0.0,tensor(0.4773),tensor(0.4735),15,8
0.9,0.1,59,time_window,0.0,0.0,tensor(0.3371),tensor(0.3333),15,8
0.9,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.9,0.1,6,n_bins,0.0,0.0,tensor(0.8030),tensor(0.7841),17,8
0.9,0.1,6,spike_count,0.0,0.0,tensor(0.2955),tensor(0.2917),17,8
0.9,0.1,6,time_window,0.0,0.0,tensor(0.2235),tensor(0.2386),17,8
0.9,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),15,8
0.9,0.1,93,n_bins,0.0,0.0,tensor(0.8144),tensor(0.7841),15,8
0.9,0.1,93,time_window,0.0,0.0,tensor(0.2083),tensor(0.2083),15,8
0.9,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.9,0.1,96,n_bins,0.0,0.0,tensor(0.8598),tensor(0.7992),27,8
0.9,0.1,96,spike_count,0.0,0.0,tensor(0.4508),tensor(0.4394),27,8
0.9,0.1,96,time_window,0.0,0.0,tensor(0.2689),tensor(0.2765),27,8
0.9,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),21,8
0.9,0.1,98,n_bins,0.0,0.0,tensor(0.7955),tensor(0.7765),21,8
0.9,0.1,98,spike_count,0.0,0.0,tensor(0.3902),tensor(0.3864),21,8
0.9,0.1,98,time_window,0.0,0.0,tensor(0.2917),tensor(0.2955),21,8
