representation,coding,train_size,val_size,seed,bach_size,,,train_acc,val_acc,test_acc,epoch,loss=representation,beta
n_bins,max_mem,0.9,0.1,42,8,0,0,0.8333,0.7992,19,8,max_mem,0.5
binary,max_mem,0.9,0.1,42,8,0,0,0.2045,0.2159,19,8,max_mem,0.5
time_window,max_mem,0.9,0.1,42,8,0,0,0.4318,0.3977,19,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,42,8,0,0,0.5152,0.4962,19,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,42,8,0,0,0.1780,0.1818,19,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,13,8,0,0,0.8144,0.7879,17,8,max_mem,0.5
binary,max_mem,0.9,0.1,13,8,0,0,0.1818,0.1705,17,8,max_mem,0.5
time_window,max_mem,0.9,0.1,13,8,0,0,0.4242,0.3977,17,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,13,8,0,0,0.5568,0.5417,17,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,13,8,0,0,0.1174,0.1250,17,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,93,8,0,0,0.8333,0.7765,15,8,max_mem,0.5
binary,max_mem,0.9,0.1,93,8,0,0,0.0909,0.0909,15,8,max_mem,0.5
time_window,max_mem,0.9,0.1,93,8,0,0,0.3636,0.3712,15,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,93,8,0,0,0.5076,0.5114,15,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,93,8,0,0,0.0909,0.0909,15,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,45,8,0,0,0.0,0.0,1,8,max_mem,0.5
binary,max_mem,0.9,0.1,45,8,0,0,0.1553,0.1553,23,8,max_mem,0.5
time_window,max_mem,0.9,0.1,45,8,0,0,0.4735,0.4356,23,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,45,8,0,0,0.5909,0.5492,23,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,45,8,0,0,0.1288,0.1553,23,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,96,8,0,0,0.8182,0.7652,29,8,max_mem,0.5
binary,max_mem,0.9,0.1,96,8,0,0,0.1477,0.1591,29,8,max_mem,0.5
time_window,max_mem,0.9,0.1,96,8,0,0,0.4621,0.4432,29,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,96,8,0,0,0.5947,0.5833,29,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,96,8,0,0,0.1553,0.1591,29,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,6,8,0,0,0.8561,0.8068,35,8,max_mem,0.5
binary,max_mem,0.9,0.1,6,8,0,0,0.1705,0.1629,35,8,max_mem,0.5
time_window,max_mem,0.9,0.1,6,8,0,0,0.4394,0.4697,35,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,6,8,0,0,0.5985,0.5568,35,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,6,8,0,0,0.1742,0.1818,35,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,98,8,0,0,0.7955,0.7008,37,8,max_mem,0.5
binary,max_mem,0.9,0.1,98,8,0,0,0.1288,0.1212,37,8,max_mem,0.5
time_window,max_mem,0.9,0.1,98,8,0,0,0.4280,0.4242,37,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,98,8,0,0,0.5909,0.5227,37,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,98,8,0,0,0.0909,0.0909,37,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,59,8,0,0,0.8068,0.7992,23,8,max_mem,0.5
binary,max_mem,0.9,0.1,59,8,0,0,0.1780,0.1629,23,8,max_mem,0.5
time_window,max_mem,0.9,0.1,59,8,0,0,0.3561,0.3788,23,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,59,8,0,0,0.4924,0.4773,23,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,59,8,0,0,0.1553,0.1591,23,8,max_mem,0.5
n_bins,max_mem,0.9,0.1,44,8,0,0,0.8523,0.7652,31,8,max_mem,0.5
binary,max_mem,0.9,0.1,44,8,0,0,0.2083,0.1856,31,8,max_mem,0.5
time_window,max_mem,0.9,0.1,44,8,0,0,0.4015,0.4091,31,8,max_mem,0.5
spike_count,max_mem,0.9,0.1,44,8,0,0,0.5530,0.5265,31,8,max_mem,0.5
timesurface,max_mem,0.9,0.1,44,8,0,0,0.1326,0.1402,31,8,max_mem,0.5
#Missing 0 values
